Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Milling,Ti-6Al-4V Titanium,337.8,32.0,6,TiCN,0.32,0.3,77.29,768.8,0.1393,2.85,3.11,642.6,Flood Coolant,18.49,5.695,192.6,248.94,0.703,0.253,1.85,0.367,3.372,35.53,2.1692,6.348
CNC Milling,Al 6061-T6 Aluminum,96.6,20.0,4,Uncoated Carbide,0.035,-1.1,339.03,5395.8,0.0708,1.29,0.59,1528.7,Dry,0.0,1.164,69.1,45.0,3.175,0.395,0.5,0.297,4.409,227.2,2.1497,30.768
CNC Milling,Al 6061-T6 Aluminum,102.4,32.0,5,TiCN,0.096,4.5,415.6,4134.0,0.1679,3.81,5.68,3471.3,Dry,0.0,75.026,118.3,162.61,2.34,0.705,0.5,1.304,4.778,3.82,2.3365,0.519
CNC Turning,AISI 304 Stainless Steel,200.0,90.58,1,TiCN,0.229,-3.6,195.69,687.7,0.2619,3.01,0.26,180.1,MQL (Min Lubrication),0.22,154.082,593.9,4100.9,0.674,0.179,0.85,15.436,16.811,6.55,8.1609,0.883
CNC Milling,AISI 1045 Steel,201.9,20.0,4,AlCrN,0.113,-3.6,225.03,3581.4,0.111,4.15,16.96,1590.0,Cryogenic (LN2),5.81,111.816,100.0,1636.56,2.012,0.404,1.35,7.365,10.359,5.56,5.6408,0.841
CNC Milling,AISI 1045 Steel,222.8,16.0,3,Uncoated Carbide,0.13,3.9,157.22,3127.8,0.1214,3.84,0.92,1139.3,Flood Coolant,30.55,4.014,76.0,45.0,1.76,0.332,1.85,0.141,3.836,57.34,2.346,9.742
CNC Turning,AISI 1045 Steel,215.8,49.91,1,Uncoated Carbide,0.403,-2.7,169.09,1078.4,0.0986,3.11,0.1,106.3,Flood Coolant,21.97,51.806,353.7,2883.29,0.818,0.167,1.85,9.761,13.015,15.07,6.7696,2.178
CNC Turning,AISI 1045 Steel,230.6,45.06,1,Uncoated Carbide,0.291,-1.2,128.77,909.6,0.2377,1.77,0.24,216.2,MQL (Min Lubrication),0.12,54.115,414.9,2678.8,0.754,0.185,0.85,6.624,8.33,9.24,4.147,1.277
CNC Milling,AISI 304 Stainless Steel,200.7,6.0,2,AlCrN,0.179,4.5,163.97,8698.7,0.1335,2.1,1.6,2321.8,Cryogenic (LN2),2.46,7.794,84.6,122.57,5.935,0.521,1.35,0.391,7.594,58.46,4.3416,9.284
CNC Milling,AISI 1045 Steel,209.1,6.0,4,TiCN,0.1,5.1,245.72,13035.9,0.1605,2.37,0.66,8370.7,Flood Coolant,18.49,13.024,96.8,69.69,10.818,1.489,1.85,0.339,15.162,69.85,7.7198,9.879
CNC Turning,AISI 1045 Steel,183.2,20.57,1,AlCrN,0.082,-5.9,246.87,3820.0,0.3243,0.66,0.32,1238.6,MQL (Min Lubrication),0.09,53.113,240.3,553.03,2.151,0.348,0.85,2.735,6.115,6.91,3.0487,0.957
CNC Milling,AISI 304 Stainless Steel,208.3,16.0,4,TiAlN,0.031,-5.4,219.73,4371.5,0.0496,3.4,6.26,867.4,Flood Coolant,17.43,18.46,106.1,270.56,2.488,0.289,1.85,1.166,5.845,19.0,3.2812,2.962
CNC Milling,AISI 304 Stainless Steel,214.0,25.0,6,TiAlN,0.207,-1.8,169.86,2162.7,0.1092,2.31,16.63,1417.4,Cryogenic (LN2),5.76,54.412,172.5,1605.98,1.277,0.377,1.35,5.227,7.586,8.37,4.3443,1.331
CNC Turning,AISI 304 Stainless Steel,199.3,27.57,1,TiAlN,0.02,-1.3,192.62,2223.7,0.1734,0.62,0.17,385.6,Dry,0.0,20.863,218.3,392.98,1.305,0.212,0.5,1.451,3.293,9.47,1.6168,1.292
CNC Milling,AISI 304 Stainless Steel,202.9,6.0,2,AlCrN,0.144,8.9,173.66,9213.1,0.1396,2.5,3.84,2571.7,Cryogenic (LN2),5.88,24.637,94.7,430.44,6.439,0.561,1.35,1.435,9.605,23.39,5.2894,3.578
CNC Turning,Ti-6Al-4V Titanium,353.0,30.17,1,AlCrN,0.224,8.3,93.74,989.1,0.1973,2.2,0.2,195.1,Flood Coolant,28.83,40.597,320.4,2337.91,0.784,0.181,1.85,4.31,7.518,11.11,4.1158,1.69
CNC Turning,Inconel 718 Superalloy,408.9,93.75,1,TiAlN,0.132,2.0,85.41,290.0,0.3596,3.41,0.36,104.3,Cryogenic (LN2),4.62,104.709,213.7,4800.0,0.54,0.167,1.35,8.113,10.078,5.77,5.5114,0.877
CNC Milling,AISI 1045 Steel,209.2,6.0,4,TiAlN,0.065,-5.8,106.27,5638.0,0.2049,1.78,3.02,4620.1,Flood Coolant,28.74,24.828,107.8,553.16,3.349,0.889,1.85,1.119,6.516,15.75,3.6057,2.421
CNC Milling,AISI 1045 Steel,211.8,6.0,3,TiCN,0.052,5.0,155.86,8268.9,0.0542,0.51,2.16,1344.8,Flood Coolant,18.22,1.481,63.8,45.0,5.529,0.365,1.85,0.136,7.731,313.13,4.1807,47.035
CNC Turning,Al 6061-T6 Aluminum,87.2,53.15,1,Uncoated Carbide,0.116,0.7,450.0,2695.1,0.1356,3.12,0.14,365.4,MQL (Min Lubrication),0.17,190.424,149.5,790.04,1.535,0.208,0.85,7.092,10.037,3.16,4.9185,0.43
CNC Turning,AISI 304 Stainless Steel,192.4,28.57,1,AlCrN,0.06,-4.6,235.58,2624.7,0.1626,2.36,0.16,426.9,MQL (Min Lubrication),0.12,90.304,285.2,1311.36,1.499,0.218,0.85,6.083,8.273,5.5,4.0697,0.751
CNC Turning,Al 6061-T6 Aluminum,95.3,98.96,1,TiAlN,0.039,-3.4,347.5,1117.8,0.2847,0.81,0.28,318.3,Flood Coolant,19.01,79.689,79.6,248.87,0.833,0.201,1.85,1.667,4.511,3.4,2.6485,0.554
CNC Turning,AISI 1045 Steel,235.4,75.57,1,TiAlN,0.077,5.0,236.57,996.5,0.3484,3.96,0.35,347.2,Flood Coolant,31.55,326.79,265.0,3455.46,0.787,0.206,1.85,15.751,18.322,3.36,9.2162,0.47
CNC Milling,Al 6061-T6 Aluminum,95.3,16.0,5,TiCN,0.082,7.9,277.36,5518.0,0.1019,4.12,9.78,2811.5,MQL (Min Lubrication),0.09,113.166,98.7,496.3,3.262,0.6,0.85,2.76,7.116,3.77,3.5241,0.519
CNC Turning,Inconel 718 Superalloy,413.1,96.61,1,TiCN,0.442,-4.1,90.71,298.9,0.2964,2.68,0.3,88.6,Cryogenic (LN2),2.94,72.018,410.6,4800.0,0.543,0.164,1.35,8.217,10.573,8.81,5.8199,1.347
CNC Milling,Ti-6Al-4V Titanium,332.1,10.0,4,TiAlN,0.12,6.7,87.23,2776.6,0.1759,1.62,8.94,1953.7,Dry,0.0,28.221,376.4,1715.77,1.576,0.463,0.5,2.836,5.471,11.63,2.6706,1.577
CNC Milling,AISI 1045 Steel,217.1,6.0,3,AlCrN,0.043,-4.0,99.13,5259.1,0.099,2.63,3.96,1562.0,Flood Coolant,24.16,16.252,86.0,444.2,3.079,0.4,1.85,0.87,6.573,24.27,3.6289,3.721
CNC Milling,Al 6061-T6 Aluminum,99.0,10.0,4,AlCrN,0.108,3.4,207.51,6605.3,0.0601,1.06,6.72,1587.8,MQL (Min Lubrication),0.14,11.337,68.3,89.99,4.09,0.404,0.85,0.357,5.892,31.18,2.948,4.334
CNC Milling,Al 6061-T6 Aluminum,96.7,20.0,5,TiAlN,0.133,-4.3,179.17,2851.6,0.1197,1.44,10.0,1706.1,MQL (Min Lubrication),0.11,24.494,84.2,213.6,1.614,0.423,0.85,0.735,3.489,8.55,1.8117,1.233
CNC Turning,Al 6061-T6 Aluminum,88.5,25.7,1,TiCN,0.078,-4.8,174.75,2164.2,0.1527,1.94,0.15,330.5,MQL (Min Lubrication),0.23,51.666,89.9,431.33,1.277,0.203,0.85,1.508,3.874,4.5,1.9833,0.64
CNC Milling,AISI 1045 Steel,219.1,20.0,5,TiCN,0.173,-3.1,164.66,2620.7,0.1735,4.3,3.65,2272.8,MQL (Min Lubrication),0.21,35.586,190.0,498.43,1.497,0.514,0.85,1.59,4.458,7.52,2.2805,1.068
CNC Milling,Al 6061-T6 Aluminum,98.7,8.0,2,TiAlN,0.078,1.3,177.14,7048.2,0.0871,1.43,4.98,1228.2,MQL (Min Lubrication),0.07,8.712,55.3,72.03,4.452,0.347,0.85,0.247,6.063,41.76,3.0233,5.784
CNC Milling,AISI 1045 Steel,207.7,32.0,4,AlCrN,0.005,2.3,95.07,945.7,0.1508,3.85,18.6,570.4,MQL (Min Lubrication),0.2,40.849,113.9,832.65,0.768,0.241,0.85,1.5,3.364,4.94,1.7282,0.705
CNC Turning,AISI 1045 Steel,210.5,30.27,1,TiAlN,0.174,-0.2,136.36,1433.7,0.2009,3.89,0.2,288.1,Cryogenic (LN2),4.77,106.554,145.0,2907.52,0.958,0.196,1.35,7.61,10.519,5.92,5.7298,0.896
CNC Turning,Ti-6Al-4V Titanium,326.3,85.55,1,Uncoated Carbide,0.167,-2.1,104.79,389.9,0.1428,1.05,0.14,55.7,MQL (Min Lubrication),0.23,15.65,300.1,1088.25,0.573,0.159,0.85,2.196,3.773,14.47,1.9541,2.081
CNC Milling,AISI 1045 Steel,199.3,20.0,4,AlCrN,0.11,-0.3,142.86,2273.6,0.1444,0.93,6.43,1313.7,MQL (Min Lubrication),0.24,7.901,125.8,121.64,1.329,0.36,0.85,0.347,2.906,22.07,1.5303,3.228
CNC Milling,Ti-6Al-4V Titanium,353.2,6.0,3,TiAlN,0.023,5.6,72.68,3855.8,0.1602,2.2,4.95,1853.5,Dry,0.0,20.247,224.6,1136.01,2.172,0.447,0.5,1.653,4.811,14.26,2.3383,1.925
CNC Milling,Ti-6Al-4V Titanium,331.2,25.0,5,TiCN,0.069,-4.0,77.98,992.9,0.2161,3.32,8.6,1073.0,Flood Coolant,18.69,30.583,163.7,1084.68,0.785,0.322,1.85,1.684,4.676,9.17,2.7328,1.489
CNC Turning,AISI 1045 Steel,211.5,106.56,1,TiAlN,0.034,-5.2,194.92,582.2,0.3701,3.9,0.37,215.5,Flood Coolant,34.76,281.566,232.1,3379.08,0.638,0.184,1.85,12.815,15.326,3.27,7.7851,0.461
CNC Turning,Ti-6Al-4V Titanium,328.7,46.62,1,AlCrN,0.069,9.8,128.81,879.4,0.3494,2.22,0.35,307.2,MQL (Min Lubrication),0.2,100.094,366.2,2341.25,0.743,0.199,0.85,5.882,7.868,4.72,3.879,0.646
CNC Milling,Inconel 718 Superalloy,419.8,12.0,3,TiCN,0.447,2.8,44.54,1181.4,0.1172,2.73,2.64,415.3,Flood Coolant,18.5,2.988,229.1,487.26,0.857,0.216,1.85,0.434,3.295,66.17,2.1639,12.071
CNC Turning,AISI 1045 Steel,203.5,72.63,1,AlCrN,0.027,7.2,224.47,983.7,0.3189,1.03,0.32,313.8,Dry,0.0,73.498,251.6,721.3,0.782,0.2,0.5,3.189,4.533,3.7,2.2071,0.5
CNC Milling,Ti-6Al-4V Titanium,344.5,12.0,4,AlCrN,0.181,7.9,86.99,2307.6,0.0497,3.8,3.33,458.8,Flood Coolant,15.59,5.807,114.9,266.03,1.345,0.223,1.85,0.459,3.577,36.96,2.2338,6.412
CNC Turning,AISI 304 Stainless Steel,194.3,77.21,1,Uncoated Carbide,0.166,-0.8,153.75,633.9,0.1813,0.76,0.18,114.9,MQL (Min Lubrication),0.2,21.075,269.2,750.49,0.655,0.168,0.85,2.215,3.734,10.63,1.9353,1.531
CNC Milling,AISI 304 Stainless Steel,194.9,8.0,2,TiAlN,0.192,6.0,202.33,8050.4,0.1284,2.43,5.55,2068.1,MQL (Min Lubrication),0.08,27.917,289.5,605.92,5.328,0.481,0.85,2.409,9.442,20.29,4.6526,2.778
CNC Milling,AISI 1045 Steel,220.5,16.0,5,TiCN,0.136,-5.6,121.27,2412.7,0.2025,4.4,10.71,2443.3,Cryogenic (LN2),3.69,115.172,128.6,2950.94,1.395,0.541,1.35,6.874,10.817,5.64,5.8633,0.848
CNC Milling,AISI 304 Stainless Steel,205.8,16.0,5,AlCrN,0.201,-1.5,83.88,1668.8,0.1824,2.67,6.41,1522.3,Flood Coolant,31.52,26.099,211.5,1059.42,1.056,0.394,1.85,1.701,5.139,11.81,2.9805,1.903
CNC Milling,AISI 1045 Steel,205.4,12.0,4,TiAlN,0.117,3.6,238.21,6318.8,0.0768,0.69,5.51,1942.4,Flood Coolant,34.82,7.361,87.5,92.02,3.863,0.461,1.85,0.438,6.543,53.33,3.6291,8.217
CNC Turning,Inconel 718 Superalloy,393.4,84.28,1,AlCrN,0.171,-2.6,49.3,250.0,0.3951,3.28,0.4,98.8,Flood Coolant,17.74,63.896,326.2,4800.0,0.527,0.166,1.85,4.493,7.128,6.69,3.9184,1.022
CNC Milling,Ti-6Al-4V Titanium,344.5,20.0,6,TiAlN,0.08,-2.4,100.24,1595.4,0.1843,2.91,3.14,1763.8,Flood Coolant,25.3,16.121,139.7,362.54,1.025,0.432,1.85,0.691,4.15,15.44,2.4848,2.569
CNC Turning,AISI 304 Stainless Steel,189.8,87.34,1,AlCrN,0.079,-3.1,180.23,656.9,0.3563,0.57,0.36,234.1,MQL (Min Lubrication),0.14,36.726,256.2,597.72,0.663,0.187,0.85,2.051,3.645,5.96,1.8751,0.851
CNC Turning,AISI 304 Stainless Steel,203.4,98.79,1,TiAlN,0.228,-1.5,208.2,670.8,0.2387,3.47,0.24,160.1,Flood Coolant,32.28,172.614,438.4,4270.76,0.668,0.176,1.85,17.457,21.117,7.34,10.5764,1.021
CNC Milling,AISI 304 Stainless Steel,203.0,25.0,6,TiAlN,0.088,8.3,99.34,1264.8,0.1643,3.73,5.73,1246.5,Dry,0.0,26.643,209.7,623.95,0.89,0.349,0.5,1.162,2.878,6.48,1.4322,0.896
CNC Milling,AISI 304 Stainless Steel,203.9,10.0,4,TiAlN,0.1,-0.7,112.73,3588.2,0.1356,2.33,5.22,1946.1,Flood Coolant,15.34,23.676,132.8,683.38,2.016,0.461,1.85,1.537,6.236,15.8,3.4797,2.45
CNC Milling,AISI 304 Stainless Steel,197.6,12.0,4,Uncoated Carbide,0.173,9.1,148.95,3951.0,0.0489,2.22,8.05,772.3,Flood Coolant,33.97,13.79,145.5,512.36,2.229,0.274,1.85,1.46,5.71,24.84,3.2454,3.922
CNC Turning,AISI 304 Stainless Steel,198.0,47.75,1,TiAlN,0.312,8.6,160.73,1071.6,0.3013,0.62,0.3,322.9,Dry,0.0,29.84,600.6,1131.59,0.815,0.202,0.5,3.584,5.376,10.81,2.6692,1.491
CNC Milling,AISI 1045 Steel,205.9,16.0,4,TiAlN,0.031,-3.5,184.78,3676.1,0.178,1.8,14.34,2617.9,Flood Coolant,17.42,67.738,161.6,967.2,2.066,0.569,1.85,3.368,7.514,6.66,4.0738,1.002
CNC Milling,AISI 1045 Steel,202.3,20.0,6,TiAlN,0.149,-1.3,125.46,1996.8,0.0568,2.5,13.18,680.9,Flood Coolant,24.98,22.476,120.7,769.78,1.201,0.259,1.85,1.812,4.872,13.01,2.8421,2.108
CNC Milling,Ti-6Al-4V Titanium,318.7,20.0,4,TiCN,0.125,1.6,140.78,2240.6,0.0428,2.66,3.76,383.8,Flood Coolant,17.78,3.841,107.4,91.55,1.313,0.211,1.85,0.242,3.647,56.97,2.255,9.785
CNC Turning,Al 6061-T6 Aluminum,101.7,97.56,1,TiAlN,0.045,5.8,159.76,521.2,0.2428,3.14,0.24,126.6,Flood Coolant,29.09,121.828,91.5,800.07,0.617,0.17,1.85,2.396,5.197,2.56,2.9754,0.407
CNC Milling,AISI 1045 Steel,190.0,16.0,5,TiAlN,0.038,8.8,215.85,4294.2,0.0403,3.25,9.33,865.8,Flood Coolant,18.69,26.248,88.9,325.25,2.439,0.289,1.85,1.386,6.003,13.72,3.3575,2.132
CNC Milling,AISI 1045 Steel,211.4,12.0,3,AlCrN,0.077,-0.4,251.33,6666.6,0.115,0.81,3.0,2300.2,Cryogenic (LN2),4.66,5.569,45.0,45.0,4.139,0.518,1.35,0.218,6.356,68.47,3.7321,11.168
CNC Milling,AISI 1045 Steel,198.3,10.0,4,TiCN,0.05,8.7,156.71,4988.1,0.1113,0.82,0.75,2220.1,Flood Coolant,19.3,1.373,82.9,45.0,2.892,0.505,1.85,0.137,5.455,238.42,3.0991,37.627
CNC Milling,Inconel 718 Superalloy,406.3,6.0,4,Uncoated Carbide,0.319,4.4,82.54,4378.7,0.2048,1.13,1.01,3587.3,Flood Coolant,18.01,4.13,243.8,263.69,2.492,0.724,1.85,0.414,5.254,76.32,3.0625,12.358
CNC Turning,Al 6061-T6 Aluminum,95.0,96.58,1,AlCrN,0.072,0.8,398.57,1313.6,0.3046,1.45,0.3,400.1,Cryogenic (LN2),3.63,176.222,55.5,437.91,0.91,0.214,1.35,3.393,6.525,2.22,3.8114,0.36
CNC Milling,Ti-6Al-4V Titanium,342.9,8.0,4,AlCrN,0.45,1.2,102.56,4080.9,0.1845,1.39,5.27,3012.4,Flood Coolant,22.38,22.12,494.9,1755.44,2.307,0.632,1.85,3.441,8.201,22.25,4.4951,3.387
CNC Turning,Inconel 718 Superalloy,394.6,37.48,1,AlCrN,0.16,9.2,67.23,571.0,0.209,2.35,0.21,119.4,Flood Coolant,17.27,33.052,288.1,2584.66,0.634,0.169,1.85,3.389,6.187,11.23,3.4692,1.749
CNC Turning,AISI 304 Stainless Steel,203.9,105.06,1,AlCrN,0.109,-5.0,113.14,342.8,0.1087,1.61,0.11,37.3,Flood Coolant,34.61,19.82,151.5,764.25,0.557,0.156,1.85,1.65,4.233,12.81,2.5302,2.128
CNC Turning,Inconel 718 Superalloy,405.6,34.49,1,TiCN,0.313,9.5,110.61,1020.9,0.3533,3.18,0.35,360.7,Flood Coolant,21.61,124.435,622.5,4800.0,0.796,0.208,1.85,10.338,13.011,6.27,6.746,0.904
CNC Turning,AISI 1045 Steel,217.1,64.98,1,TiAlN,0.018,0.2,80.23,393.0,0.0914,3.13,0.09,35.9,Flood Coolant,32.82,22.934,84.4,847.73,0.574,0.156,1.85,1.298,3.984,10.42,2.3948,1.74
CNC Milling,AISI 1045 Steel,207.7,12.0,4,TiCN,0.301,-4.8,249.43,6616.2,0.091,4.37,7.8,2407.8,Dry,0.0,82.129,526.2,2262.71,4.098,0.535,0.5,11.157,17.709,12.94,8.5246,1.73
CNC Milling,Ti-6Al-4V Titanium,353.1,12.0,4,TiCN,0.2,7.8,126.67,3359.9,0.2034,2.01,1.58,2734.1,MQL (Min Lubrication),0.09,8.658,233.4,173.74,1.887,0.587,0.85,0.424,3.818,26.46,1.9826,3.816
CNC Turning,AISI 304 Stainless Steel,197.9,102.62,1,TiAlN,0.018,3.3,79.6,250.0,0.2832,3.91,0.28,70.8,Dry,0.0,88.194,284.3,3310.29,0.527,0.161,0.5,5.011,6.463,4.4,3.1225,0.59
CNC Milling,Ti-6Al-4V Titanium,341.2,8.0,3,TiAlN,0.073,7.9,71.65,2850.8,0.1274,2.91,1.29,1089.4,Cryogenic (LN2),5.83,4.081,57.0,112.5,1.614,0.324,1.35,0.16,3.504,51.53,2.3768,9.708
CNC Turning,AISI 304 Stainless Steel,206.6,64.13,1,TiAlN,0.259,-2.3,215.95,1071.9,0.2218,3.81,0.22,237.7,Cryogenic (LN2),5.94,182.546,296.0,4641.84,0.815,0.188,1.35,19.102,21.462,7.05,10.9472,0.999
CNC Milling,Ti-6Al-4V Titanium,339.9,8.0,2,TiCN,0.092,7.7,100.69,4006.2,0.1249,0.65,6.05,1001.0,Cryogenic (LN2),3.09,3.961,64.9,147.12,2.262,0.31,1.35,0.289,4.534,68.67,2.8696,12.073
CNC Turning,AISI 1045 Steel,203.9,104.39,1,TiAlN,0.003,1.6,120.88,368.6,0.2901,2.31,0.29,106.9,MQL (Min Lubrication),0.06,80.942,183.5,1417.01,0.566,0.167,0.85,3.297,5.051,3.74,2.5297,0.521
CNC Turning,AISI 1045 Steel,225.2,39.19,1,TiCN,0.074,-5.8,145.4,1181.0,0.1713,1.99,0.17,202.3,Dry,0.0,49.445,247.0,1347.23,0.857,0.182,0.5,3.869,5.256,6.38,2.5589,0.863
CNC Milling,Inconel 718 Superalloy,404.2,6.0,3,AlCrN,0.186,-0.6,77.84,4129.6,0.1943,1.95,2.87,2407.3,MQL (Min Lubrication),0.07,13.491,315.0,916.52,2.337,0.535,0.85,1.373,5.392,23.98,2.7275,3.37
CNC Milling,Al 6061-T6 Aluminum,97.2,12.0,4,TiAlN,0.053,-2.6,416.05,11036.2,0.2013,3.43,1.01,8885.0,Flood Coolant,34.71,30.807,59.7,45.0,8.389,1.572,1.85,0.364,12.244,23.85,6.3246,3.422
CNC Turning,Inconel 718 Superalloy,417.1,74.94,1,AlCrN,0.405,-0.9,39.95,250.0,0.3128,1.99,0.31,78.2,MQL (Min Lubrication),0.23,24.853,646.6,4800.0,0.527,0.163,0.85,3.688,5.132,12.39,2.6559,1.781
CNC Turning,Al 6061-T6 Aluminum,99.9,81.31,1,TiAlN,0.072,-2.5,331.53,1297.9,0.3846,2.17,0.38,499.2,Flood Coolant,30.8,276.5,125.4,937.01,0.903,0.23,1.85,5.999,9.213,2.0,4.888,0.295
CNC Milling,Ti-6Al-4V Titanium,349.1,10.0,4,Uncoated Carbide,0.407,7.7,56.82,1808.7,0.049,1.16,4.18,354.3,Flood Coolant,29.13,1.717,153.1,292.67,1.117,0.207,1.85,0.314,3.602,125.85,2.2995,22.319
CNC Turning,Ti-6Al-4V Titanium,329.8,61.04,1,Uncoated Carbide,0.164,4.0,88.86,463.4,0.1907,1.08,0.19,88.4,Cryogenic (LN2),3.48,18.221,125.7,1175.31,0.597,0.164,1.35,1.966,4.124,13.58,2.6903,2.461
CNC Milling,AISI 1045 Steel,199.6,8.0,4,TiAlN,0.081,5.1,199.21,7926.2,0.1357,2.81,0.67,4303.6,Dry,0.0,8.081,143.6,58.31,5.215,0.839,0.5,0.221,6.611,49.08,3.204,6.608
CNC Milling,AISI 1045 Steel,217.5,32.0,5,TiAlN,0.233,6.7,94.56,940.6,0.1435,4.2,5.5,675.0,Flood Coolant,33.32,15.585,129.9,388.02,0.766,0.258,1.85,0.736,3.705,14.26,2.3065,2.467
CNC Turning,AISI 1045 Steel,224.4,99.02,1,AlCrN,0.063,8.9,147.03,472.7,0.0615,1.54,0.06,29.1,Flood Coolant,16.44,13.933,89.2,297.68,0.6,0.155,1.85,0.83,3.4,14.64,2.1254,2.542
CNC Turning,Al 6061-T6 Aluminum,96.6,21.1,1,TiCN,0.102,-1.1,222.21,3352.1,0.1274,3.43,0.13,427.1,MQL (Min Lubrication),0.14,97.015,121.9,715.95,1.883,0.218,0.85,3.001,6.541,4.05,3.2548,0.559
CNC Turning,AISI 1045 Steel,210.9,72.55,1,AlCrN,0.056,0.1,182.72,801.7,0.1022,2.21,0.1,81.9,Flood Coolant,24.37,41.235,129.4,674.33,0.715,0.163,1.85,2.426,4.993,7.26,2.8807,1.164
CNC Turning,Inconel 718 Superalloy,408.5,36.65,1,TiCN,0.061,2.9,51.07,443.6,0.1743,3.43,0.17,77.3,MQL (Min Lubrication),0.1,30.547,255.6,2951.93,0.591,0.162,0.85,2.961,4.496,8.83,2.2754,1.241
CNC Milling,AISI 304 Stainless Steel,208.3,6.0,2,TiAlN,0.149,-2.6,176.69,9373.6,0.0672,1.17,3.56,1260.5,MQL (Min Lubrication),0.19,5.265,144.1,150.01,6.601,0.352,0.85,0.53,8.755,99.77,4.3166,13.664
CNC Turning,Al 6061-T6 Aluminum,94.4,79.85,1,TiAlN,0.017,-0.2,431.92,1721.7,0.1687,2.65,0.17,290.4,Dry,0.0,193.031,159.3,607.0,1.079,0.196,0.5,5.235,7.029,2.18,3.3908,0.293
CNC Milling,AISI 1045 Steel,227.3,6.0,2,TiCN,0.181,-5.6,220.49,11697.5,0.1506,2.08,5.27,3524.5,Flood Coolant,16.35,38.672,200.8,778.37,9.159,0.714,1.85,3.343,15.489,24.03,7.892,3.401
CNC Milling,AISI 1045 Steel,222.6,25.0,4,TiCN,0.137,-6.0,259.96,3309.9,0.1887,1.04,14.5,2498.4,MQL (Min Lubrication),0.09,37.589,234.6,477.7,1.859,0.55,0.85,2.441,5.448,8.7,2.7433,1.216
CNC Milling,Inconel 718 Superalloy,412.3,32.0,6,TiAlN,0.111,0.2,36.81,400.0,0.1363,2.93,22.42,327.2,Flood Coolant,25.28,21.505,190.1,2972.97,0.576,0.202,1.85,2.081,4.88,13.62,2.8381,2.2
CNC Milling,AISI 1045 Steel,211.3,16.0,5,AlCrN,0.057,0.6,136.71,2719.7,0.1219,3.11,10.69,1658.0,Flood Coolant,28.27,55.169,125.7,1009.24,1.547,0.415,1.85,2.588,6.411,6.97,3.5546,1.074
CNC Milling,AISI 1045 Steel,203.6,32.0,6,TiCN,0.205,-0.5,126.91,1262.4,0.1874,4.32,28.77,1419.7,Dry,0.0,176.552,464.7,4500.0,0.889,0.377,0.5,11.119,13.027,4.43,6.2784,0.593
CNC Milling,AISI 1045 Steel,202.0,6.0,4,AlCrN,0.078,-2.2,258.74,13726.5,0.0533,0.94,4.98,2924.4,Dry,0.0,13.693,164.4,233.58,11.728,0.618,0.5,1.191,14.056,61.59,6.74,8.204
CNC Milling,AISI 1045 Steel,200.5,6.0,4,TiCN,0.05,8.0,112.86,5987.4,0.1347,1.24,0.55,3227.0,Dry,0.0,2.22,79.2,45.0,3.609,0.666,0.5,0.099,4.894,132.26,2.3827,17.886
CNC Milling,AISI 1045 Steel,206.2,32.0,5,TiAlN,0.08,-3.3,216.34,2152.0,0.1295,1.03,22.07,1393.5,Flood Coolant,23.82,31.779,130.7,443.05,1.272,0.373,1.85,1.891,5.497,10.38,3.125,1.639
CNC Turning,Ti-6Al-4V Titanium,330.5,26.11,1,TiCN,0.146,3.2,146.39,1784.7,0.1813,1.99,0.18,323.6,Dry,0.0,52.83,507.7,2150.04,1.106,0.202,0.5,6.293,8.465,9.61,4.0985,1.293
CNC Milling,AISI 304 Stainless Steel,195.5,8.0,3,TiAlN,0.073,-1.1,89.67,3568.0,0.1839,1.57,3.31,1968.3,Flood Coolant,21.31,10.265,109.6,287.06,2.004,0.465,1.85,0.493,5.035,29.43,2.9041,4.715
CNC Milling,Ti-6Al-4V Titanium,346.4,20.0,4,TiCN,0.45,-0.4,89.09,1417.9,0.1426,4.31,11.17,808.6,Flood Coolant,18.28,38.897,504.0,3787.1,0.952,0.279,1.85,6.387,9.413,14.52,5.0708,2.173
CNC Turning,AISI 1045 Steel,235.6,92.99,1,TiAlN,0.213,-5.6,129.49,443.3,0.0793,0.87,0.08,35.2,MQL (Min Lubrication),0.18,8.94,170.3,445.95,0.59,0.156,0.85,1.097,2.624,17.61,1.4185,2.645
CNC Turning,Al 6061-T6 Aluminum,91.3,43.66,1,Uncoated Carbide,0.188,-0.4,215.28,1569.4,0.1909,1.42,0.19,299.6,MQL (Min Lubrication),0.07,58.479,142.5,586.75,1.014,0.198,0.85,2.373,4.377,4.49,2.2458,0.64
